totalPrice,Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway
640.0,116.47761299999999,39.934452,132.38,3,1,1,3,1,1.0,2000,1,6,1.0,1.0,1.0
1293.0,116.471006,40.016871,148.19,3,2,1,2,0,3.0,2007,4,6,1.0,0.0,1.0
340.0,116.42013600000001,39.989832,59.6,2,1,1,1,0,4.0,1987,4,4,0.0,0.0,1.0
388.0,116.64054499999999,39.911057,105.98,2,1,1,1,2,3.0,2009,4,6,1.0,0.0,1.0
480.0,116.482331,40.014156,120.19,3,2,1,2,1,1.0,2002,4,6,1.0,1.0,0.0
520.0,116.437597,39.863044,98.75,3,1,1,1,1,4.0,1997,4,2,0.0,1.0,1.0
280.0,116.255335,39.897245,73.73,2,1,1,1,2,4.0,2001,1,2,0.0,0.0,0.0
696.0,116.36556200000001,39.982896000000004,79.9,3,1,1,1,1,4.0,1990,3,2,0.0,0.0,1.0
280.0,116.454903,39.882809,40.11,1,1,1,1,3,4.0,1980,4,2,0.0,0.0,0.0
278.0,116.612765,39.905006,72.31,1,1,1,1,1,1.0,2005,4,6,1.0,0.0,0.0
220.0,116.493655,39.905367,47.72,1,0,1,1,2,3.0,2000,4,6,1.0,1.0,1.0
395.0,116.236106,39.899968,109.83,3,2,1,1,1,1.0,2003,4,6,1.0,1.0,0.0
430.0,116.315445,40.074203000000004,96.54,2,1,1,1,1,4.0,2013,3,6,1.0,0.0,0.0
428.0,116.35751299999998,40.0711,123.39,3,2,1,1,2,1.0,2003,3,6,1.0,1.0,1.0
288.0,116.17041,39.767123,121.0,3,1,1,2,1,4.0,2001,3,2,0.0,1.0,0.0
354.0,116.412985,40.062212,56.57,1,1,1,1,1,3.0,2008,4,6,1.0,1.0,1.0
299.0,116.35696899999999,40.045057,36.0,1,1,1,1,3,4.0,1987,1,4,0.0,0.0,1.0
242.0,116.488832,39.932702,57.33,2,1,1,1,1,4.0,1991,4,2,0.0,1.0,1.0
499.0,116.60995700000001,39.91983,90.04,2,2,1,1,0,3.0,2010,4,6,1.0,0.0,0.0
805.0,116.32940500000001,39.846371000000005,127.14,3,1,1,2,2,4.0,2006,2,6,1.0,1.0,1.0
209.0,116.37773700000001,40.012518,60.26,1,0,0,1,0,3.0,2007,4,6,1.0,1.0,1.0
510.0,116.360004,39.90498,54.95,2,1,1,1,1,3.0,1980,3,6,1.0,0.0,1.0
344.0,116.461519,39.961727,62.22,3,1,1,1,4,3.0,1982,4,6,1.0,0.0,1.0
610.0,116.418802,40.010659000000004,146.45,3,2,1,2,2,3.0,2008,1,6,1.0,0.0,1.0
344.0,116.454898,39.931723,57.5,3,0,1,1,2,4.0,1978,3,4,0.0,0.0,1.0
233.0,116.21005,39.919736,61.3,2,1,1,1,1,4.0,1985,4,2,0.0,1.0,0.0
365.0,116.379698,39.848129,51.67,1,0,1,1,1,3.0,2006,4,6,1.0,1.0,0.0
455.0,116.293151,39.849302,80.3,3,1,1,1,2,1.0,2000,3,6,1.0,0.0,1.0
520.0,116.212671,39.900574,90.22,2,1,1,1,2,3.0,2010,1,6,1.0,1.0,0.0
159.0,116.50818100000001,39.807662,53.0,1,1,1,1,0,1.0,2008,1,6,1.0,0.0,1.0
676.0,116.330345,39.984336,54.88,1,1,1,1,1,4.0,1997,1,2,0.0,1.0,1.0
730.0,116.43513200000001,39.92546,76.33,2,1,1,1,4,4.0,2003,3,6,0.0,0.0,1.0
592.0,116.386555,40.0865,133.48,3,2,1,2,2,4.0,2009,4,6,1.0,1.0,0.0
141.8,116.298445,39.838903,63.04,1,1,0,1,2,1.0,2008,3,6,1.0,0.0,1.0
290.0,116.415742,40.077796,96.11,2,1,1,1,1,1.0,2003,3,2,1.0,1.0,1.0
308.5,116.37794199999999,39.847498,36.33,1,0,1,1,0,4.0,2009,4,6,1.0,1.0,1.0
342.0,116.47523899999999,39.938541,63.9,2,1,1,1,2,4.0,1984,4,6,1.0,1.0,1.0
595.0,116.38722800000001,39.886024,56.85,2,1,1,1,4,4.0,1987,2,2,0.0,1.0,1.0
513.0,116.462122,39.923796,72.38,1,1,1,1,2,1.0,2008,1,6,1.0,0.0,1.0
430.0,116.57853200000001,39.928987,97.41,2,1,1,1,2,1.0,2010,3,6,1.0,1.0,1.0
359.0,116.42974299999999,39.969409999999996,61.69,2,1,1,1,4,4.0,1965,4,2,0.0,0.0,1.0
489.0,116.43066200000001,40.181214000000004,140.61,3,1,1,2,1,4.0,2013,4,6,1.0,0.0,0.0
537.0,116.22028300000001,40.043636,68.62,1,1,1,1,0,4.0,2009,4,6,1.0,1.0,0.0
470.0,116.481632,39.927935,61.5,2,1,1,1,1,4.0,1989,1,6,1.0,0.0,1.0
291.0,116.331446,40.085293,87.65,2,1,1,1,2,4.0,2000,4,2,0.0,1.0,0.0
293.0,116.45781399999998,39.770511,114.91,3,2,1,1,1,4.0,2002,3,4,0.0,1.0,0.0
201.0,116.65976599999999,40.128078,57.22,2,1,1,1,3,4.0,1987,3,2,0.0,1.0,1.0
296.0,116.47668700000001,39.988644,41.1,1,1,1,1,3,4.0,1993,4,2,0.0,0.0,0.0
215.0,116.505445,39.939085,58.45,2,1,1,1,1,4.0,1993,1,2,0.0,1.0,0.0
318.0,116.445996,40.069568,75.51,1,1,1,1,1,1.0,2001,4,2,1.0,1.0,0.0
445.0,116.435758,39.930640999999994,38.69,1,1,1,1,1,4.0,1991,3,2,0.0,0.0,1.0
695.0,116.42787299999999,39.999098,126.0,2,1,1,1,1,1.0,2002,4,6,1.0,1.0,1.0
525.0,116.340818,39.986077,42.59,1,1,1,1,1,4.0,1996,4,2,0.0,1.0,1.0
330.0,116.333451,39.907225,55.6,2,1,1,1,4,4.0,1990,4,2,0.0,1.0,0.0
355.0,116.233846,39.905003,66.38,2,1,1,1,1,4.0,1993,3,2,0.0,1.0,0.0
685.0,116.365439,39.949061,63.4,3,1,1,1,1,4.0,1980,3,2,0.0,1.0,1.0
275.0,116.51291599999999,39.864253999999995,105.83,2,1,1,1,1,4.0,2007,4,6,1.0,1.0,1.0
446.5,116.59246999999999,39.926531,114.35,2,2,1,2,3,4.0,2003,4,6,1.0,0.0,1.0
580.0,116.46461000000001,39.903546,94.39,2,1,1,1,2,3.0,2004,3,6,1.0,1.0,1.0
192.0,116.694868,39.877962,55.0,1,0,1,1,0,4.0,2012,4,6,1.0,0.0,1.0
249.8,116.57168899999999,39.925109,90.39,2,1,1,1,1,3.0,2009,1,6,1.0,0.0,0.0
395.0,116.511545,39.904464000000004,60.47,1,1,1,1,0,3.0,2009,4,6,1.0,1.0,1.0
220.0,116.652626,39.909058,48.0,1,1,1,1,0,4.0,1996,4,2,0.0,0.0,0.0
130.0,116.497474,39.810115,34.59,1,1,1,1,0,1.0,2011,4,6,1.0,0.0,1.0
345.0,116.491575,39.984428,55.0,2,1,1,1,1,1.0,1986,4,2,0.0,1.0,1.0
833.0,116.448876,39.901694,125.95,2,1,1,1,1,1.0,2004,4,6,1.0,1.0,1.0
400.0,116.35716799999999,39.973031,76.4,3,0,1,1,0,1.0,1988,1,6,1.0,1.0,1.0
170.6,116.37267,39.851088,39.15,1,0,1,1,0,1.0,2003,4,6,1.0,0.0,1.0
166.5,116.58468,39.935758,37.91,1,0,1,1,4,4.0,2007,4,6,1.0,1.0,1.0
388.0,116.354542,39.738296000000005,90.59,2,1,1,1,4,4.0,2005,3,2,0.0,0.0,0.0
98.0,116.648422,40.137571,36.57,1,0,1,1,1,4.0,1993,3,2,0.0,0.0,1.0
886.0,116.544954,39.971689000000005,155.89,3,2,1,2,3,4.0,2012,4,6,1.0,0.0,0.0
